1493969102.644 | https | vimeo.com | GET | 404 | 1493969101583195,1493969101635320, | IAD |  | 10.10.3.59 | 0.009
1493969103.644 | https | vimeo.com | GET | 510 | 1493969101583195,1493969101635320, | IAD |  | 10.10.3.59 | 0.009
1493969104.644 | https | vimeo.com | GET | 404 | 1493969101583195,1493969101635320, | IAD |  | 10.10.3.59 | 0.009
1493969105.644 | https | player.vimeo.com | GET | 404 | 1493969101583195,1493969101635320, | IAD |  | 10.10.3.59 | 0.009
1493969106.644 | https | vimeo.com | GET | 404 | 1493969101583195,1493969101635320, | IAD |  | 10.10.3.59 | 0.009
1493969107.644 | https | vimeo.com | GET | 503 | 1493969101583195,1493969101635320, | IAD |  | 10.10.3.59 | 0.009
1493969108.644 | https | api.vimeo.com | GET | 404 | 1493969101583195,1493969101635320, | IAD |  | 10.10.3.59 | 0.009
1493969109.644 | https | vimeo.com | GET | 504 | 1493969101583195,1493969101635320, | IAD |  | 10.10.3.59 | 0.009
1493969110.644 | https | player.vimeo.com | GET | 503 | 1493969101583195,1493969101635320, | IAD |  | 10.10.3.59 | 0.009
1493969111.644 | https | vimeo.com | GET | 404 | 1493969101583195,1493969101635320, | IAD |  | 10.10.3.59 | 0.009
1493969112.644 | https | vimeo.com | GET | 505 | 1493969101583195,1493969101635320, | IAD |  | 10.10.3.59 | 0.009
1493969113.644 | https | vimeo.com | GET | 404 | 1493969101583195,1493969101635320, | IAD |  | 10.10.3.59 | 0.009
1493969114.644 | https | player.vimeo.com | GET | 404 | 1493969101583195,1493969101635320, | IAD |  | 10.10.3.59 | 0.009
1490969120.644 | https | vimeo.com | GET | 404 | 1493969101583195,1493969101635320, | IAD |  | 10.10.3.59 | 0.009
1491969125.644 | https | vimeo.com | GET | 404 | 1493969101583195,1493969101635320, | IAD |  | 10.10.3.59 | 0.009
1492969130.644 | https | vimeo.com | GET | 500 | 1493969101583195,1493969101635320, | IAD |  | 10.10.3.59 | 0.009
1494969135.644 | https | api.vimeo.com | GET | 404 | 1493969101583195,1493969101635320, | IAD |  | 10.10.3.59 | 0.009
1495969140.644 | https | vimeo.com | GET | 404 | 1493969101583195,1493969101635320, | IAD |  | 10.10.3.59 | 0.009
1496969146.644 | https | vimeo.com | GET | 502 | 1493969101583195,1493969101635320, | IAD |  | 10.10.3.59 | 0.009
1496969150.644 | https | vimeo.com | GET | 502 | 1493969101583195,1493969101635320, | IAD |  | 10.10.3.59 | 0.010
